trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
724,False,"{'a': 0.4, 'e': 0.84306307082163467}",35,0,-135.30368490320757,"{0: 20, 1: 8, 2: 4, 3: 2, 4: 1}",0
725,False,"{'a': 0.4, 'e': 0.84264041216043228}",20,0,-25.551218910613365,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
726,False,"{'a': 0.4, 'e': 0.84221723371628654}",20,0,-115.39016173577744,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
727,False,"{'a': 0.4, 'e': 0.8417935357502353}",20,0,-26.352761721704418,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
728,False,"{'a': 0.4, 'e': 0.84136931852363661}",25,0,-16.8534573323363,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
729,False,"{'a': 0.4, 'e': 0.84094458229816904}",25,0,-97.66387089146328,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
730,False,"{'a': 0.4, 'e': 0.84051932733583123}",25,0,-182.2910577698714,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
731,False,"{'a': 0.4, 'e': 0.8400935538989418}",20,0,-63.09454073286453,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
732,False,"{'a': 0.4, 'e': 0.83966726225013932}",25,0,-151.25195596226212,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
733,False,"{'a': 0.4, 'e': 0.83924045265238179}",20,0,-105.96745267954262,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",1
734,False,"{'a': 0.4, 'e': 0.83881312536894659}",20,0,-189.39550993936325,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
735,False,"{'a': 0.4, 'e': 0.83838528066343099}",20,0,-53.85386490013496,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
736,False,"{'a': 0.4, 'e': 0.83795691879975098}",30,0,-112.234637795482,"{0: 15, 1: 8, 2: 5, 3: 2, 4: 0}",0
737,False,"{'a': 0.4, 'e': 0.83752804004214165}",20,0,-43.43148613357271,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
738,False,"{'a': 0.4, 'e': 0.83709864465515704}",20,0,-151.2065094714093,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
739,False,"{'a': 0.4, 'e': 0.83666873290366983}",25,0,-176.62989648666573,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
740,False,"{'a': 0.4, 'e': 0.836238305052871}",20,0,-176.29545900929435,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
741,False,"{'a': 0.4, 'e': 0.83580736136827016}",25,12,-18.249461572842744,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
